timestamp,elapsed_s,cpu_max_mc,battery_mc,cpu_max_c,battery_c,status
2026-08-27 21:30:39,0,46300,35000,46.3,35.0,OK
2026-08-27 21:30:44,5,49800,35000,49.8,35.0,OK
2026-08-27 21:30:49,10,51300,35000,51.3,35.0,OK
2026-08-27 21:30:54,15,50200,35000,50.2,35.0,OK
2026-08-27 21:30:58,20,50500,35000,50.5,35.0,OK
2026-08-27 21:31:02,24,73300,35000,73.3,35.0,OK
2026-08-27 21:31:07,28,56700,35700,56.7,35.7,OK
2026-08-27 21:31:11,33,60200,35200,60.2,35.2,OK
2026-08-27 21:31:15,37,55200,35200,55.2,35.2,OK
2026-08-27 21:31:20,41,54000,35200,54.0,35.2,OK
2026-08-27 21:31:24,46,53200,35200,53.2,35.2,OK
2026-08-27 21:31:29,50,53200,35200,53.2,35.2,OK
2026-08-27 21:31:33,55,53600,35000,53.6,35.0,OK
2026-08-27 21:31:38,59,53600,35000,53.6,35.0,OK
2026-08-27 21:31:42,64,53600,35200,53.6,35.2,OK
2026-08-27 21:31:47,68,52900,35500,52.9,35.5,OK
2026-08-27 21:31:51,73,53600,35500,53.6,35.5,OK
2026-08-27 21:31:56,77,52900,35200,52.9,35.2,OK
2026-08-27 21:32:00,82,54000,35000,54.0,35.0,OK
2026-08-27 21:32:05,86,54000,35000,54.0,35.0,OK
