timestamp,elapsed_s,cpu_max_mc,battery_mc,cpu_max_c,battery_c,status
2026-08-27 21:28:17,0,46300,35500,46.3,35.5,OK
2026-08-27 21:28:22,4,53600,36000,53.6,36.0,OK
2026-08-27 21:28:27,9,50900,36000,50.9,36.0,OK
2026-08-27 21:28:31,14,50900,35200,50.9,35.2,OK
2026-08-27 21:28:36,18,50500,35200,50.5,35.2,OK
2026-08-27 21:28:41,23,50500,35200,50.5,35.2,OK
2026-08-27 21:28:45,28,52900,35200,52.9,35.2,OK
2026-08-27 21:28:50,32,53200,35200,53.2,35.2,OK
2026-08-27 21:28:54,37,53600,35200,53.6,35.2,OK
2026-08-27 21:28:59,41,54000,35200,54.0,35.2,OK
2026-08-27 21:29:03,46,54000,35200,54.0,35.2,OK
2026-08-27 21:29:08,50,54400,35200,54.4,35.2,OK
2026-08-27 21:29:13,55,54000,35200,54.0,35.2,OK
