timestamp,elapsed_s,cpu_max_mc,battery_mc,cpu_max_c,battery_c,status
2026-08-27 20:44:02,0,56000,35700,56.0,35.7,OK
2026-08-27 20:44:07,4,49000,35700,49.0,35.7,OK
2026-08-27 20:44:12,9,50500,35700,50.5,35.7,OK
2026-08-27 20:44:17,14,53600,35700,53.6,35.7,OK
2026-08-27 20:44:21,19,50900,35700,50.9,35.7,OK
2026-08-27 20:44:26,23,58300,35700,58.3,35.7,OK
2026-08-27 20:44:30,28,54000,35700,54.0,35.7,OK
2026-08-27 20:44:35,32,54000,35700,54.0,35.7,OK
2026-08-27 20:44:40,37,54800,35700,54.8,35.7,OK
2026-08-27 20:44:44,42,54400,35700,54.4,35.7,OK
2026-08-27 20:44:49,46,54400,35700,54.4,35.7,OK
2026-08-27 20:44:53,51,54800,35700,54.8,35.7,OK
2026-08-27 20:44:58,55,54800,35700,54.8,35.7,OK
