timestamp,elapsed_s,cpu_max_mc,battery_mc,cpu_max_c,battery_c,status
2026-08-27 20:41:04,0,44000,35200,44.0,35.2,OK
2026-08-27 20:41:09,5,45900,35200,45.9,35.2,OK
2026-08-27 20:41:14,10,55200,35500,55.2,35.5,OK
2026-08-27 20:41:18,15,50900,35500,50.9,35.5,OK
2026-08-27 20:41:23,19,52500,35200,52.5,35.2,OK
2026-08-27 20:41:27,24,52100,35200,52.1,35.2,OK
2026-08-27 20:41:32,28,51300,35200,51.3,35.2,OK
2026-08-27 20:41:36,33,52500,35200,52.5,35.2,OK
2026-08-27 20:41:41,37,52900,35500,52.9,35.5,OK
2026-08-27 20:41:46,42,53200,35500,53.2,35.5,OK
2026-08-27 20:41:50,47,53600,35500,53.6,35.5,OK
2026-08-27 20:41:55,51,53600,35500,53.6,35.5,OK
2026-08-27 20:41:59,56,54000,35500,54.0,35.5,OK
2026-08-27 20:42:04,60,53600,35500,53.6,35.5,OK
2026-08-27 20:42:08,65,54000,35500,54.0,35.5,OK
