run_id,configuration,threads,requested_affinity,actual_affinity,model,model_sha256,runtime_version,device,android_version,prompt_id,prompt_tokens,generated_tokens,generation_seconds,generation_tps,start_temp_c,min_temp_c,max_temp_c,end_temp_c,exit_code,validity,invalid_reason,timestamp
F0-4T-R1,F0-4T,4,f0,ff,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,13,6.6,49.8,79.9,84.5,53.6,0,false,AFFINITY_FAILURE,20260827_212120
F0-4T-R2,F0-4T,4,f0,ff,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,14,6.4,45.5,64.8,82.6,52.5,0,false,AFFINITY_FAILURE,20260827_212142
F0-4T-R3,F0-4T,4,f0,ff,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,15,6.4,44.8,65.6,81.8,52.9,0,false,AFFINITY_FAILURE,20260827_212219
F0-4T-R4,F0-4T,4,f0,ff,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,14,6.4,44.8,65.2,82.2,52.9,0,false,AFFINITY_FAILURE,20260827_212303
F0-4T-R5,F0-4T,4,f0,ff,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,14,6.4,44.8,65.6,82.2,53.2,0,false,AFFINITY_FAILURE,20260827_212340
F0-4T-R6,F0-4T,4,f0,UNKNOWN,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,14,null,49.0,66.8,82.2,51.7,0,false,AFFINITY_FAILURE,20260827_212424
