run_id,configuration,threads,requested_affinity,actual_affinity,model,model_sha256,runtime_version,device,android_version,prompt_id,prompt_tokens,generated_tokens,generation_seconds,generation_tps,start_temp_c,min_temp_c,max_temp_c,end_temp_c,exit_code,validity,invalid_reason,timestamp
F0-4T-R1,F0-4T,4,f0,f0,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,17,5.1,42.8,69.5,84.1,50.9,0,true,null,20260827_212610
F0-4T-R2,F0-4T,4,f0,f0,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,18,4.7,44.4,61.4,74.5,50.9,0,true,null,20260827_212635
F0-4T-R3,F0-4T,4,f0,f0,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,19,4.6,45.1,63.7,76.4,50.5,0,true,null,20260827_212716
0F-4T-R1,0F-4T,4,0f,0f,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,59,1.4,44.8,46.3,54.4,45.9,0,true,null,20260827_212757
0F-4T-R2,0F-4T,4,0f,0f,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,58,1.5,44.0,45.5,54.4,45.9,0,true,null,20260827_212919
0F-4T-R3,0F-4T,4,0f,0f,qwen2.5-3b-instruct-q4_k_m.gguf,626b4a6678b86442240e33df819e00132d3ba7dddfe1cdc4fbb18e0a9615c62d,0.2.0-dev,Redmi K20 Pro,11,repro_prompt,null,50,90,0.8,45.1,46.3,73.3,50.2,0,true,null,20260827_213033
