timestamp,elapsed_s,cpu_max_mc,battery_mc,cpu_max_c,battery_c,status
2026-08-27 19:55:28,0,49400,33000,49.4,33.0,OK
2026-08-27 19:55:33,5,78400,33200,78.4,33.2,OK
2026-08-27 19:55:38,10,84900,33200,84.9,33.2,WARN_HIGH
2026-08-27 19:55:44,15,85300,33700,85.3,33.7,HARD_ABORT
